10001001111011101000100111101110,100, Nirvana - Rape me 
10011011111011111001101111101111,100, Nirvana - Smells like teen spirit 
10000010100010101000101010101010,100, Polly - Nirvana
11100011101011100011101011100011,100, Led Zeppelin - Kashmir
00100010001000100010001000100010,010, Bob Marley - One love
10100010101000101010001010100010,010, Rythmique Reggae #1
00110011001100110011001100110011,010, Bob Marley - Stir it up 
10001010101000100010001010001000,001, Bossa Nova Rythmique #1
10001000101010101000100010101010,001, Bossa Nova Rythmique #2
10000010000010000000100000101000,001, Bossa Nova Rythmique #3
10000010100000101000000010000000,001, Corcovado
10001000101000101000000010100010,001, Antonio Carlos Jobim - Wave
