10001001111011101000100111101110,100000000000, Nirvana - Rape me 
10011011111011111001101111101111,010000000000, Nirvana - Smells like teen spirit 
10000010100010101000101010101010,001000000000, Polly - Nirvana
11100011101011100011101011100011,000100000000, Led Zeppelin - Kashmir
00100010001000100010001000100010,000010000000, Bob Marley - One love
10100010101000101010001010100010,000001000000, Rythmique Reggae #1
00110011001100110011001100110011,000000100000, Bob Marley - Stir it up 
10001010101000100010001010001000,000000010000, Bossa Nova Rythmique #1
10001000101010101000100010101010,000000001000, Bossa Nova Rythmique #2
10000010000010000000100000101000,000000000100, Bossa Nova Rythmique #3
10000010100000101000000010000000,000000000010, Corcovado
10001000101000101000000010100010,000000000001, Antonio Carlos Jobim - Wave
